Class; Value; Class start; Class end;
162;28;44.462230120529;45.799418245186;
163;53;45.799418245186;47.136606369843;
164;50;47.136606369843;48.473794494499;
165;71;48.473794494499;49.810982619156;
166;42;49.810982619156;51.148170743813;
167;39;51.148170743813;52.485358868469;
168;31;52.485358868469;53.822546993126;
169;25;53.822546993126;55.159735117783;
170;23;55.159735117783;56.496923242439;
171;11;56.496923242439;57.834111367096;
172;22;57.834111367096;59.171299491753;
173;28;59.171299491753;60.508487616409;
174;22;60.508487616409;61.845675741066;
175;30;61.845675741066;63.182863865723;
176;26;63.182863865723;64.520051990380;
177;34;64.520051990380;65.857240115036;
178;34;65.857240115036;67.194428239693;
179;12;67.194428239693;68.531616364350;
180;7;68.531616364350;69.868804489006;
181;10;69.868804489006;71.205992613663;
182;5;71.205992613663;72.543180738320;
183;0;72.543180738320;73.880368862976;
184;4;73.880368862976;75.217556987633;
185;1;75.217556987633;76.554745112290;
186;5;76.554745112290;77.891933236946;
187;11;77.891933236946;79.229121361603;
188;11;79.229121361603;80.566309486260;
189;12;80.566309486260;81.903497610916;
190;10;81.903497610916;83.240685735573;
191;8;83.240685735573;84.577873860230;
192;11;84.577873860230;85.915061984886;
193;14;85.915061984886;87.252250109543;
194;14;87.252250109543;88.589438234200;
195;12;88.589438234200;89.926626358856;
196;5;89.926626358856;91.263814483513;
197;8;91.263814483513;92.601002608170;
198;12;92.601002608170;93.938190732826;
199;14;93.938190732826;95.275378857483;
200;12;95.275378857483;96.612566982140;
201;16;96.612566982140;97.949755106796;
202;22;97.949755106796;99.286943231453;
203;33;99.286943231453;100.624131356110;
204;32;100.624131356110;101.961319480766;
205;29;101.961319480766;103.298507605423;
206;23;103.298507605423;104.635695730080;
207;29;104.635695730080;105.972883854737;
208;14;105.972883854737;107.310071979393;
209;10;107.310071979393;108.647260104050;
210;15;108.647260104050;109.984448228707;
211;27;109.984448228707;111.321636353363;
212;24;111.321636353363;112.658824478020;
213;24;112.658824478020;113.996012602677;
214;24;113.996012602677;115.333200727333;
215;18;115.333200727333;116.670388851990;
216;26;116.670388851990;118.007576976647;
217;25;118.007576976647;119.344765101303;
218;28;119.344765101303;120.681953225960;
219;27;120.681953225960;122.019141350617;
220;35;122.019141350617;123.356329475273;
221;33;123.356329475273;124.693517599930;
222;18;124.693517599930;126.030705724587;
223;14;126.030705724587;127.367893849243;
224;17;127.367893849243;128.705081973900;
225;19;128.705081973900;130.042270098557;
226;30;130.042270098557;131.379458223213;
227;44;131.379458223213;132.716646347870;
228;24;132.716646347870;134.053834472527;
229;19;134.053834472527;135.391022597183;
230;10;135.391022597183;136.728210721840;
231;17;136.728210721840;138.065398846497;
232;29;138.065398846497;139.402586971153;
233;37;139.402586971153;140.739775095810;
234;46;140.739775095810;142.076963220467;
235;25;142.076963220467;143.414151345123;
236;20;143.414151345123;144.751339469780;
